Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,FAQ,1000,2900,1950,10 Nov 2023
2,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,FAQ,600,2100,1350,10 Nov 2023
3,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Elakki Bale,FAQ,2000,6000,4000,10 Nov 2023
4,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,FAQ,700,2200,1450,10 Nov 2023
5,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,FAQ,1000,2700,1850,09 Nov 2023
6,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,FAQ,600,2200,1400,09 Nov 2023
7,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Elakki Bale,FAQ,2000,6400,4200,09 Nov 2023
8,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,FAQ,700,2100,1400,09 Nov 2023
9,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,FAQ,1000,2900,1950,08 Nov 2023
10,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,FAQ,600,2300,1450,08 Nov 2023
11,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Elakki Bale,FAQ,2000,6700,4350,08 Nov 2023
12,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,FAQ,700,2200,1450,08 Nov 2023
13,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,FAQ,1000,2800,1900,07 Nov 2023
14,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,FAQ,600,2200,1400,07 Nov 2023
15,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Elakki Bale,FAQ,2000,6500,4250,07 Nov 2023
16,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,FAQ,700,2300,1500,07 Nov 2023
17,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nendra Bale,FAQ,1000,2900,1950,06 Nov 2023
18,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Pachha Bale,FAQ,600,2300,1450,06 Nov 2023
19,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Elakki Bale,FAQ,2000,6600,4300,06 Nov 2023
20,Bangalore,"Binny Mill (F&V), Bangalore",Banana,Nauti Bale,FAQ,700,2400,1550,06 Nov 2023
